breakpoints,primitives,q_bp,weld_v
0,movel,"[array([-0.40241053,  0.65144942,  0.17849291,  0.20683458, -0.75002447,
       -0.50983618])]",[10]
1,movel,"[array([-0.44842639,  0.699559  ,  0.24821693,  0.18013003, -0.7633177 ,
       -0.44489972])]",[5]
