breakpoints,primitives,q_bp,weld_v
0,movel,"[array([-0.44842639,  0.69727136,  0.25052828,  0.17927477, -0.76784262,
       -0.44371348])]",[10]
1,movel,"[array([-0.40241053,  0.64905245,  0.18073756,  0.20581853, -0.75456764,
       -0.50844457])]",[5]
